cisp;mes;ano;pop
135;9;2003;22970,02
136;9;2003;47939,89
137;9;2003;26993,82
138;9;2003;7772,87
139;9;2003;16503,82
140;9;2003;23446,39
141;9;2003;37026,13
142;9;2003;14719,54
143;9;2003;121762,78
144;9;2003;34201,50
145;9;2003;29195,46
146;9;2003;189783,72
151;9;2003;176116,36
152;9;2003;10519,16
153;9;2003;19833,42
154;9;2003;24166,05
155;9;2003;8555,11
156;9;2003;10426,67
157;9;2003;10116,82
158;9;2003;23468,28
159;9;2003;50289,29
165;9;2003;28098,97
166;9;2003;133309,12
167;9;2003;31871,61
168;9;2003;16597,94
1;10;2003;1554,05
4;10;2003;29960,48
5;10;2003;35860,54
6;10;2003;76706,87
7;10;2003;38879,75
9;10;2003;129668,52
10;10;2003;98074,33
12;10;2003;87138,44
13;10;2003;65993,22
14;10;2003;84347,76
15;10;2003;140926,04
16;10;2003;289180,39
17;10;2003;76288,90
18;10;2003;64332,96
19;10;2003;132380,00
20;10;2003;155851,51
21;10;2003;252935,94
22;10;2003;227778,93
23;10;2003;87630,97
24;10;2003;92154,87
25;10;2003;123446,96
26;10;2003;110607,70
27;10;2003;180473,17
28;10;2003;163612,07
